Shipment_ID,Region,Transport_Mode,Shipment_Volume_kg,Distance_km,Delivery_Time_days,Delay_days,Transport_Cost,Fuel_Cost,Orders,On_Time
S0001,North,Road,360,293,3.73,1,7929.82,3115.44,44,True
S0002,West,Rail,46,1679,7.23,1,3361.63,1339.14,46,False
S0003,East,Road,113,1528,3.32,0,12985.51,5409.83,46,True
S0004,South,Road,103,259,4.13,0,1936.25,805.71,23,True
S0005,South,Road,418,1425,4.39,0,44571.14,18259.0,24,True
S0006,West,Rail,45,254,4.55,1,571.46,123.32,21,False
S0007,North,Road,226,1312,3.75,3,22257.73,5126.28,35,False
S0008,East,Road,303,203,2.46,2,4564.06,1218.52,43,True
S0009,North,Road,267,904,4.62,0,18218.69,5859.82,28,True
S0010,North,Sea,346,1201,9.51,0,11600.04,2567.5,31,False
S0011,East,Sea,405,1325,10.63,0,15028.07,5801.97,23,False
S0012,West,Rail,208,782,6.44,1,7341.03,2464.28,19,False
S0013,East,Road,417,1662,6.68,0,51929.48,16582.13,47,False
S0014,West,Sea,172,1405,9.54,0,6804.17,1608.29,58,False
S0015,East,Air,492,414,1.1,2,32547.4,8322.9,23,True
S0016,West,Air,262,1224,3.62,3,51277.15,12063.91,60,False
S0017,East,Road,373,1328,4.51,2,37259.81,14435.39,42,False
S0018,North,Road,440,633,4.89,0,20805.75,6835.32,15,True
S0019,West,Road,400,1341,5.25,1,40036.98,14482.51,28,False
S0020,South,Sea,428,1622,10.26,1,19566.92,5187.72,5,False
S0021,East,Road,277,1479,5.42,0,30930.17,8712.27,7,True
S0022,South,Road,40,1384,6.88,1,4119.58,1190.84,26,False
S0023,North,Road,256,1160,6.66,1,22117.05,8121.45,34,False
S0024,West,Rail,107,523,5.69,0,2493.41,922.36,56,False
S0025,West,Road,446,1441,5.18,2,48178.55,11827.79,13,False
S0026,East,Sea,133,687,10.99,1,2543.19,1035.43,59,False
S0027,South,Air,129,981,2.29,1,20158.77,4566.85,20,True
S0028,West,Air,139,600,2.29,2,13390.36,5317.94,13,True
S0029,East,Road,328,597,3.69,2,14728.16,3270.93,50,False
S0030,South,Rail,294,325,5.68,1,4180.2,1079.32,55,False
S0031,South,Rail,475,1732,6.46,0,37077.44,14320.24,44,False
S0032,North,Rail,219,308,3.37,2,3199.55,766.26,12,True
S0033,North,Road,155,200,1.03,2,2338.76,680.54,12,True
S0034,East,Road,43,1688,4.28,3,5416.81,1619.46,30,False
S0035,West,Road,23,1021,3.91,0,1749.86,444.39,34,True
S0036,North,Rail,199,816,5.7,0,7356.5,2620.78,69,False
S0037,West,Road,464,1340,6.8,3,46493.55,18006.65,23,False
S0038,West,Road,271,720,5.01,1,14647.15,5747.64,17,False
S0039,South,Road,448,273,2.26,3,9141.56,2510.74,66,True
S0040,East,Rail,68,1326,7.26,0,4205.39,1332.21,15,False
S0041,North,Road,64,357,2.94,0,1699.67,432.82,6,True
S0042,West,Sea,420,1017,9.05,2,12093.35,3069.96,32,False
S0043,East,Rail,71,1710,7.65,0,5375.15,1265.72,31,False
S0044,South,Road,44,1688,6.02,1,5617.38,2285.17,45,False
S0045,North,Rail,213,681,5.44,0,6552.94,2590.75,62,True
S0046,West,Road,463,1415,6.04,0,49066.35,18204.54,65,False
S0047,South,Sea,350,1122,7.67,3,11009.79,3455.81,23,False
S0048,West,Rail,67,888,6.17,0,2774.32,854.31,68,False
S0049,East,Air,421,294,2.95,2,19777.94,6260.59,46,True
S0050,West,Road,424,708,4.11,3,22379.04,7117.54,9,False
S0051,West,Rail,404,1190,8.35,1,21632.79,6394.74,65,False
S0052,North,Rail,453,1776,7.64,0,36131.57,8273.63,13,False
S0053,South,Sea,135,58,9.13,0,191.85,43.67,43,False
S0054,South,Rail,490,1306,6.74,1,28790.77,11789.68,56,False
S0055,South,Road,173,1531,4.98,1,19728.27,6037.77,21,False
S0056,North,Road,404,1714,4.66,0,51804.95,21224.76,22,True
S0057,East,Road,298,791,4.45,0,17717.42,4181.08,35,True
S0058,North,Rail,394,257,4.17,3,4514.79,1453.64,62,False
S0059,East,Road,321,524,4.27,0,12410.12,3049.14,19,True
S0060,East,Road,328,1538,6.25,0,37897.59,9690.44,48,False
S0061,West,Air,315,1586,3.82,1,79956.19,16519.91,34,True
S0062,East,Sea,393,1164,9.28,0,12751.55,2884.01,12,False
S0063,South,Road,374,264,3.66,3,7299.85,2932.4,51,False
S0064,West,Rail,84,263,4.83,3,1061.0,287.25,59,False
S0065,South,Road,416,886,5.1,3,27671.15,9236.31,42,False
S0066,South,Rail,277,1079,4.26,3,13640.34,4123.52,16,False
S0067,West,Road,175,106,2.63,0,1424.87,410.5,15,True
S0068,South,Rail,266,1250,4.33,0,14993.52,4753.17,32,True
S0069,North,Air,484,1002,1.99,0,77581.53,18712.09,37,True
S0070,South,Air,431,71,1.99,1,4961.5,2071.39,40,True
S0071,West,Road,420,217,4.03,3,6885.51,2616.68,20,False
S0072,North,Sea,242,845,8.0,2,5825.86,2115.69,37,False
S0073,South,Road,396,1314,3.32,1,38984.09,11817.13,24,True
S0074,North,Road,204,1494,2.13,3,22823.37,5332.29,49,True
S0075,East,Rail,349,804,5.38,1,12588.49,5067.45,56,False
S0076,South,Road,326,566,6.09,0,13901.96,3824.5,47,False
S0077,South,Air,139,1744,4.1,0,38906.43,8210.17,5,True
S0078,North,Air,147,852,2.23,1,20002.33,5507.22,69,True
S0079,East,Road,49,601,4.19,0,2174.69,815.03,6,True
S0080,East,Sea,87,824,6.46,2,2032.39,684.91,69,False
S0081,West,Road,228,71,2.61,1,1194.44,436.19,7,True
S0082,South,Rail,249,578,5.81,2,6552.65,2454.62,38,False
S0083,North,Road,99,952,4.18,1,6888.46,1698.9,11,True
S0084,West,Sea,220,1657,11.97,2,10140.98,4089.17,11,False
S0085,East,Road,310,1341,5.21,3,31115.66,9221.36,49,False
S0086,East,Road,131,1417,5.65,1,13736.4,4678.38,52,False
S0087,North,Road,182,1003,3.65,1,13613.86,2729.69,12,True
S0088,South,Sea,196,243,9.99,0,1260.37,527.52,68,False
S0089,West,Sea,262,734,12.06,2,5368.54,1405.47,25,False
S0090,West,Air,195,1794,3.47,3,56061.84,11977.83,25,False
S0091,South,Sea,373,127,6.6,1,1306.78,393.1,24,False
S0092,West,Sea,177,1588,12.85,3,7787.66,1778.6,34,False
S0093,West,Rail,228,1247,6.49,3,12789.66,2986.54,16,False
S0094,South,Road,202,546,5.04,2,8355.83,2833.48,32,False
S0095,West,Air,107,1411,3.15,1,24078.24,6897.07,18,True
S0096,South,Rail,349,1514,8.88,0,23704.52,9548.36,8,False
S0097,North,Road,133,125,3.12,0,1291.56,349.0,28,True
S0098,East,Road,162,236,3.42,0,2849.68,1025.2,48,True
S0099,East,Air,400,1215,3.85,1,77811.8,23455.73,54,True
S0100,North,Road,475,1798,5.2,2,64052.66,22110.29,27,False
S0101,West,Sea,342,91,6.45,1,927.55,307.88,26,False
S0102,North,Road,459,1214,4.22,0,41709.14,12680.1,56,True
S0103,West,Road,430,288,3.7,0,9287.03,3798.52,49,True
S0104,North,Air,250,1187,2.24,3,47463.14,13071.21,59,True
S0105,West,Road,389,1140,5.19,3,33162.23,7925.5,63,False
S0106,West,Road,177,208,2.58,0,2636.12,920.48,58,True
S0107,West,Rail,241,1241,8.09,2,13513.5,5217.86,65,False
S0108,East,Sea,277,1619,6.18,2,12528.89,2616.73,32,False
S0109,South,Road,481,1561,4.41,3,56231.29,16808.61,30,False
S0110,East,Road,427,100,1.27,3,3194.81,1266.25,25,True
S0111,South,Air,254,480,1.53,1,19597.44,7151.42,20,True
S0112,West,Sea,333,471,9.17,0,4209.14,1760.25,53,False
S0113,East,Rail,117,843,5.88,1,4318.66,1368.63,51,False
S0114,South,Road,406,300,3.01,0,9061.17,3127.91,57,True
S0115,East,Road,285,1545,5.02,0,33141.27,8833.66,15,True
S0116,East,Road,275,1409,5.17,1,29083.23,11879.27,36,False
S0117,North,Road,387,1464,4.04,1,42553.99,11940.38,19,True
S0118,North,Rail,323,396,6.26,1,5664.65,2053.28,63,False
S0119,North,Road,54,75,3.58,0,214.19,61.83,22,True
S0120,North,Rail,158,1643,7.79,0,11717.56,3791.8,14,False
S0121,South,Rail,104,555,6.32,0,2602.06,932.45,42,False
S0122,East,Rail,372,1198,7.0,1,20098.42,6270.01,62,False
S0123,East,Road,36,1641,7.36,1,4415.69,1764.33,64,False
S0124,South,Air,117,113,1.33,3,2137.61,624.71,11,True
S0125,West,Air,306,59,1.14,1,2901.29,993.27,26,True
S0126,East,Air,353,59,0.91,1,3394.54,934.58,14,True
S0127,North,Road,261,323,2.26,0,6387.29,1851.0,25,True
S0128,West,Road,433,140,1.77,0,4416.91,1310.99,39,True
S0129,East,Sea,461,1484,8.68,0,18975.69,4320.34,23,False
S0130,East,Road,83,1110,4.44,0,6989.89,1539.03,9,True
S0131,East,Road,477,1765,5.85,0,63237.89,21933.92,38,False
S0132,East,Rail,314,1452,7.1,0,20435.11,7034.05,8,False
S0133,North,Rail,325,1735,6.55,2,25225.59,8724.02,19,False
S0134,East,Sea,65,467,10.34,0,857.86,175.3,5,False
S0135,West,Road,318,553,4.39,0,13263.52,3605.56,10,True
S0136,South,Sea,368,1536,10.08,0,15970.75,3889.17,33,False
S0137,East,Road,298,478,2.88,0,10724.6,3980.9,60,True
S0138,North,Rail,60,150,5.69,1,375.26,146.1,55,False
S0139,South,Rail,271,1220,6.9,0,14806.45,3764.83,11,False
S0140,South,Road,469,1451,3.58,0,51039.84,17707.09,7,True
S0141,West,Road,367,1744,5.42,0,47979.66,10961.42,26,True
S0142,North,Road,85,1673,5.64,3,10584.17,2757.53,47,False
S0143,South,Sea,480,260,6.78,2,3658.3,843.25,53,False
S0144,South,Rail,480,1401,7.18,0,30404.41,7977.34,58,False
S0145,West,Sea,101,1530,7.74,0,4417.72,1539.32,27,False
S0146,West,Air,404,1271,3.82,0,82083.77,32855.83,15,True
S0147,North,Road,215,1484,6.33,1,23997.9,5868.81,6,False
S0148,North,Air,304,1516,3.41,2,73789.41,23557.81,14,True
S0149,West,Road,233,831,4.44,1,14557.13,5157.68,9,True
S0150,North,Road,395,120,0.57,3,3654.97,1497.23,60,True
S0151,West,Air,498,848,1.93,0,67619.47,22599.33,22,True
S0152,South,Air,401,403,1.67,0,25915.68,6637.62,58,True
S0153,West,Road,467,249,2.11,1,8772.18,2961.53,40,True
S0154,South,Rail,474,268,6.07,0,5743.7,1553.72,40,False
S0155,South,Rail,63,1270,9.15,3,3457.76,1434.1,34,False
S0156,East,Sea,141,932,7.32,0,3686.23,1061.37,58,False
S0157,North,Rail,366,994,5.32,1,16326.68,5727.3,7,False
S0158,East,Road,303,1354,5.12,1,30667.26,6290.16,11,False
S0159,East,Road,44,1009,5.96,0,3464.25,997.75,32,False
S0160,West,Road,65,1152,3.35,1,5754.32,2258.71,30,True
S0161,West,Rail,269,200,5.41,1,2529.74,845.56,40,False
S0162,East,Sea,315,1539,13.65,0,13594.4,4046.61,52,False
S0163,South,Road,100,835,2.43,0,6370.55,2585.85,43,True
S0164,South,Road,102,321,2.01,0,2456.61,952.86,21,True
